epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.908,2.2797,3.26158,2.26122,0.0108,0.40675,0.19169,0.11741,2.07494,3.26202,2.13231,8.335e-05,8.335e-05,8.335e-05
2,56.6452,2.25488,2.94605,2.20132,0.01353,0.53693,0.20372,0.129,1.97411,3.19346,2.04208,0.000165216,0.000165216,0.000165216
3,83.3564,2.16936,2.60366,2.15594,0.85139,0.18687,0.2173,0.12572,2.08993,3.16213,2.18222,0.000227279,0.000227279,0.000227279
4,110.26,2.08583,2.49189,2.06834,0.07458,0.2979,0.2262,0.12591,2.16906,3.15265,2.3118,0.000269537,0.000269537,0.000269537
5,137.474,2.05702,2.46745,2.0877,0.07221,0.26527,0.17945,0.08508,2.35238,3.21177,2.59084,0.000291992,0.000291992,0.000291992
6,164.982,2.00644,2.472,2.05231,0.70101,0.19909,0.17481,0.07823,2.35686,3.19497,2.53409,0.000294642,0.000294642,0.000294642
7,194.462,2.00627,2.36998,1.99607,0.9695,0.14037,0.2272,0.12366,2.08543,2.99228,2.18978,0.000277489,0.000277489,0.000277489
8,223.796,1.94352,2.33388,1.98969,0.95018,0.18085,0.23353,0.14101,1.99857,2.88674,2.0973,0.000240531,0.000240531,0.000240531
9,253.437,1.90007,2.29581,1.91831,0.95223,0.18703,0.24308,0.1479,1.90573,2.8197,2.00856,0.00018377,0.00018377,0.00018377
10,284.22,1.88539,2.29838,1.91064,0.95161,0.19856,0.25312,0.15882,1.84916,2.75741,1.95495,0.000107205,0.000107205,0.000107205
