epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.9587,1.19288,3.25092,0.34225,2.73044,1.20208,0.01083,0.92857,0.15003,0.09014,0.00833,0.71429,0.12654,0.06809,0.75261,4.22727,0.40701,2.69172,1.00568,0,0,0
2,3.6709,1.0081,3.49392,0.34638,2.8123,1.19267,0.01083,0.92857,0.15353,0.09269,0.00833,0.71429,0.11971,0.06091,0.75162,4.21145,0.40949,2.69265,1.00177,1.9802e-05,1.9802e-05,1.9802e-05
3,5.42917,1.00399,3.94246,0.43337,2.80369,1.15802,0.01083,0.92857,0.16156,0.10466,0.00833,0.71429,0.12472,0.06335,0.74701,4.18552,0.41171,2.69509,0.99596,3.9208e-05,3.9208e-05,3.9208e-05
4,7.14017,0.83596,1.60891,0.38789,2.94893,1.28228,0.01083,0.92857,0.1697,0.10552,0.00833,0.71429,0.13625,0.06424,0.7294,4.10469,0.41462,2.68609,0.99076,5.8218e-05,5.8218e-05,5.8218e-05
5,8.74865,0.78356,2.48956,0.31774,2.64463,1.2161,0.01083,0.92857,0.18849,0.12913,0.00917,0.78571,0.14931,0.06814,0.71947,4.15723,0.41647,2.68422,0.99693,7.6832e-05,7.6832e-05,7.6832e-05
6,10.369,0.94103,3.20173,0.30365,2.77564,1.17085,0.01083,0.92857,0.18835,0.13458,0.00917,0.78571,0.14496,0.05701,0.74807,4.21845,0.41619,2.68516,1.00633,9.505e-05,9.505e-05,9.505e-05
7,12.0187,1.02856,2.92798,0.37059,2.81739,1.10183,0.01083,0.92857,0.20465,0.14482,0.00917,0.78571,0.15489,0.05983,0.78547,4.34627,0.40608,2.68796,1.03046,0.000112872,0.000112872,0.000112872
8,13.6668,0.90978,2.52352,0.38854,2.72744,1.16612,0.01083,0.92857,0.22549,0.1557,0.00917,0.78571,0.1347,0.04878,0.81417,4.61213,0.4059,2.70133,1.05133,0.000130298,0.000130298,0.000130298
9,15.2944,0.74798,2.19566,0.33301,2.51105,1.07118,0.01083,0.92857,0.23572,0.16996,0.0075,0.64286,0.14066,0.05273,0.81574,4.77635,0.39208,2.70207,1.0628,0.000147328,0.000147328,0.000147328
10,16.9932,0.91721,3.00077,0.44743,2.57955,1.07593,0.01083,0.92857,0.24629,0.17342,0.00583,0.5,0.15443,0.0503,0.90835,4.98258,0.3968,2.71559,1.10821,0.000163962,0.000163962,0.000163962
11,18.8452,0.98729,1.84058,0.34859,2.60785,1.08124,0.01083,0.92857,0.27619,0.19664,0.00667,0.57143,0.16532,0.04835,0.93159,5.12249,0.39604,2.75814,1.13577,0.0001802,0.0001802,0.0001802
12,20.4574,0.89979,2.46492,0.23522,2.61216,1.09928,0.01,0.85714,0.31394,0.22851,0.00667,0.57143,0.18043,0.05322,0.95637,5.21335,0.40673,2.78567,1.16356,0.000196042,0.000196042,0.000196042
13,22.216,0.75975,2.7771,0.27816,2.58591,1.024,0.01083,0.92857,0.33114,0.22904,0.00667,0.57143,0.22046,0.06024,1.01624,5.38114,0.41381,2.77971,1.20762,0.000211488,0.000211488,0.000211488
14,23.8021,0.61092,1.64931,0.24938,2.23699,0.91861,0.01,0.85714,0.35349,0.23888,0.0075,0.64286,0.20198,0.07194,1.04298,5.36068,0.41915,2.81176,1.20665,0.000226538,0.000226538,0.000226538
15,25.5496,0.80605,2.44769,0.24166,2.24005,1.03566,0.01083,0.92857,0.374,0.23209,0.0075,0.64286,0.2109,0.06946,1.08198,5.44288,0.43016,2.81138,1.22715,0.000241192,0.000241192,0.000241192
16,27.1896,1.13668,4.05746,0.3819,2.54843,1.46431,0.01083,0.92857,0.43504,0.24773,0.005,0.42857,0.20276,0.07789,1.10355,5.64159,0.44984,2.80768,1.22873,0.00025545,0.00025545,0.00025545
17,28.861,0.89996,2.88095,0.26475,2.38859,1.30681,0.01,0.85714,0.41924,0.23767,0.005,0.42857,0.17206,0.06325,1.11251,5.79866,0.47103,2.82567,1.24645,0.000269312,0.000269312,0.000269312
18,30.4557,0.98713,4.92284,0.26466,2.42262,1.13701,0.01,0.85714,0.41924,0.23767,0.005,0.42857,0.17206,0.06325,1.11251,5.79866,0.47103,2.82567,1.24645,0.000282778,0.000282778,0.000282778
19,32.1159,1.01044,3.28798,0.3223,2.31779,1.13037,0.01083,0.92857,0.5061,0.29303,0.005,0.42857,0.20031,0.0746,1.1648,5.96261,0.515,2.83426,1.253,0.000295848,0.000295848,0.000295848
20,33.7402,0.86193,2.35197,0.32832,2.00011,0.93974,0.01083,0.92857,0.5061,0.29303,0.005,0.42857,0.20031,0.0746,1.1648,5.96261,0.515,2.83426,1.253,0.000308522,0.000308522,0.000308522
21,35.4797,0.86045,2.98909,0.3374,2.50993,1.22373,0.01167,1,0.56318,0.34003,0.00667,0.57143,0.34907,0.0898,1.21201,6.16102,0.55005,2.842,1.29252,0.0003208,0.0003208,0.0003208
22,37.1605,0.89948,3.47748,0.41344,1.99799,1.00507,0.01167,1,0.56318,0.34003,0.00667,0.57143,0.34907,0.0898,1.21201,6.16102,0.55005,2.842,1.29252,0.000332682,0.000332682,0.000332682
23,38.8511,1.1384,3.04128,0.38502,2.36444,1.10053,0.01167,1,0.58336,0.34656,0.00583,0.5,0.30937,0.06648,1.25531,6.36627,0.54227,2.81241,1.31192,0.000344168,0.000344168,0.000344168
24,40.5515,0.92195,1.81136,0.30442,1.92438,0.97266,0.01167,1,0.58336,0.34656,0.00583,0.5,0.30937,0.06648,1.25531,6.36627,0.54227,2.81241,1.31192,0.000355258,0.000355258,0.000355258
25,42.2106,1.00762,3.1838,0.31777,2.12581,1.06274,0.01167,1,0.59164,0.38504,0.005,0.42857,0.10426,0.04497,1.24637,6.67291,0.54403,2.82529,1.33542,0.000365952,0.000365952,0.000365952
26,43.8242,0.92021,2.79646,0.30757,1.91744,1.04037,0.01167,1,0.59164,0.38504,0.005,0.42857,0.10426,0.04497,1.24637,6.67291,0.54403,2.82529,1.33542,0.00037625,0.00037625,0.00037625
27,45.5736,0.82113,2.33172,0.29323,1.88397,0.97405,0.01083,0.92857,0.54363,0.34207,0.005,0.42857,0.11473,0.04521,1.30458,6.81081,0.53056,2.86389,1.391,0.000386152,0.000386152,0.000386152
28,47.366,0.74204,2.27045,0.34027,1.82731,1.01497,0.01083,0.92857,0.54363,0.34207,0.005,0.42857,0.11473,0.04521,1.30458,6.81081,0.53056,2.86389,1.391,0.000395658,0.000395658,0.000395658
29,49.5558,1.11967,2.01615,0.41842,1.91465,0.99307,0.01167,1,0.5595,0.34934,0.00417,0.35714,0.09008,0.03413,1.34775,7.11421,0.51685,2.88164,1.42321,0.000404768,0.000404768,0.000404768
30,51.555,0.77287,2.30918,0.26525,1.70412,0.95973,0.01167,1,0.5595,0.34934,0.00417,0.35714,0.09008,0.03413,1.34775,7.11421,0.51685,2.88164,1.42321,0.000413482,0.000413482,0.000413482
31,53.4094,1.07111,2.82639,0.32251,1.97582,1.13959,0.01167,1,0.51744,0.34659,0.00417,0.35714,0.15865,0.04506,1.33583,7.14335,0.49761,2.88186,1.43243,0.0004218,0.0004218,0.0004218
32,55.174,1.30088,3.77034,0.35266,1.83384,1.06543,0.01167,1,0.51744,0.34659,0.00417,0.35714,0.15865,0.04506,1.33583,7.14335,0.49761,2.88186,1.43243,0.000429722,0.000429722,0.000429722
33,57.0951,0.9853,2.23442,0.28751,1.83326,0.96737,0.01167,1,0.50626,0.33411,0.00333,0.28571,0.1613,0.04766,1.34409,7.33344,0.49291,2.88473,1.44633,0.000437248,0.000437248,0.000437248
34,58.9976,1.0812,3.3395,0.35975,1.82001,1.1064,0.01167,1,0.50626,0.33411,0.00333,0.28571,0.1613,0.04766,1.34409,7.33344,0.49291,2.88473,1.44633,0.000444378,0.000444378,0.000444378
35,60.8005,1.05664,2.99224,0.29486,1.81508,1.09024,0.01083,0.92857,0.50557,0.33412,0.00333,0.28571,0.14744,0.05669,1.40801,7.4177,0.50241,2.90757,1.50591,0.000451112,0.000451112,0.000451112
36,62.5242,0.83271,2.80035,0.32084,1.57842,0.97799,0.01083,0.92857,0.50557,0.33412,0.00333,0.28571,0.14744,0.05669,1.40801,7.4177,0.50241,2.90757,1.50591,0.00045745,0.00045745,0.00045745
37,64.3919,1.30707,4.189,0.44342,1.90133,1.26879,0.01083,0.92857,0.47766,0.31138,0.00333,0.28571,0.17065,0.06633,1.5169,7.54321,0.51704,2.88053,1.67592,0.000463392,0.000463392,0.000463392
38,66.2844,0.66511,3.01431,0.35013,1.49618,0.95956,0.01083,0.92857,0.47766,0.31138,0.00333,0.28571,0.17065,0.06633,1.5169,7.54321,0.51704,2.88053,1.67592,0.000468938,0.000468938,0.000468938
39,68.3867,0.78927,2.53291,0.21839,1.83136,1.05787,0.01,0.85714,0.45436,0.30352,0.00333,0.28571,0.19111,0.06681,1.60256,7.53464,0.53905,2.91304,1.80669,0.000474088,0.000474088,0.000474088
40,70.3008,1.12643,2.58798,0.31336,1.62069,1.08094,0.01,0.85714,0.45436,0.30352,0.00333,0.28571,0.19111,0.06681,1.60256,7.53464,0.53905,2.91304,1.80669,0.000478842,0.000478842,0.000478842
41,72.1617,0.91751,3.50103,0.30204,1.62305,1.0605,0.01,0.85714,0.43948,0.25471,0.005,0.42857,0.1914,0.04052,1.74382,7.48439,0.54811,2.94563,1.91438,0.0004832,0.0004832,0.0004832
42,74.0357,1.19841,3.76522,0.28983,1.87072,1.36616,0.01,0.85714,0.43948,0.25471,0.005,0.42857,0.1914,0.04052,1.74382,7.48439,0.54811,2.94563,1.91438,0.000487162,0.000487162,0.000487162
43,75.7969,0.98623,3.2332,0.35546,1.5817,1.10044,0.01,0.85714,0.4181,0.19583,0.00417,0.35714,0.15184,0.03184,1.76261,7.58938,0.557,2.99813,1.97235,0.000490728,0.000490728,0.000490728
44,77.5073,1.24165,5.12646,0.34325,2.13462,1.27524,0.01,0.85714,0.4181,0.19583,0.00417,0.35714,0.15184,0.03184,1.76261,7.58938,0.557,2.99813,1.97235,0.000493898,0.000493898,0.000493898
45,79.2982,0.87885,1.97892,0.27124,1.45004,1.11702,0.00917,0.78571,0.40096,0.20709,0.00333,0.28571,0.09266,0.02237,1.63445,7.67035,0.60399,2.94802,1.71573,0.000496672,0.000496672,0.000496672
46,80.9645,0.96147,2.73955,0.3236,1.37151,1.14075,0.00917,0.78571,0.40096,0.20709,0.00333,0.28571,0.09266,0.02237,1.63445,7.67035,0.60399,2.94802,1.71573,0.00049905,0.00049905,0.00049905
47,82.6875,1.06643,3.42681,0.29193,1.42577,1.06335,0.00917,0.78571,0.4138,0.233,0.005,0.42857,0.11396,0.02438,1.62776,7.88756,0.658,2.95368,1.69207,0.000501032,0.000501032,0.000501032
48,84.3766,0.92244,3.68319,0.31954,1.24366,1.03432,0.00917,0.78571,0.4138,0.233,0.005,0.42857,0.11396,0.02438,1.62776,7.88756,0.658,2.95368,1.69207,0.000502618,0.000502618,0.000502618
49,86.1968,0.75897,2.49717,0.2928,1.43028,0.97769,0.00917,0.78571,0.36377,0.21893,0.00417,0.35714,0.10449,0.02389,1.69147,8.10557,0.67485,2.96584,1.7969,0.000503808,0.000503808,0.000503808
50,87.9314,0.97272,4.81602,0.2733,1.49076,1.1291,0.00917,0.78571,0.36377,0.21893,0.00417,0.35714,0.10449,0.02389,1.69147,8.10557,0.67485,2.96584,1.7969,0.000504602,0.000504602,0.000504602
51,90.1448,0.90588,2.70267,0.32122,1.24875,0.98414,0.00917,0.78571,0.32849,0.1686,0.00417,0.35714,0.22392,0.04629,1.7214,8.21251,0.70308,2.9826,1.83537,0.000505,0.000505,0.000505
52,92.1037,0.80204,3.20817,0.3526,1.26926,0.95292,0.00917,0.78571,0.32849,0.1686,0.00417,0.35714,0.22392,0.04629,1.7214,8.21251,0.70308,2.9826,1.83537,0.000505002,0.000505002,0.000505002
53,93.8859,0.96267,3.96338,0.2737,1.37436,1.19633,0.00917,0.78571,0.32849,0.1686,0.00417,0.35714,0.22392,0.04629,1.7214,8.21251,0.70308,2.9826,1.83537,0.000504608,0.000504608,0.000504608
54,95.9557,0.7506,2.76489,0.29821,1.43327,1.00036,0.00917,0.78571,0.35391,0.16607,0.00417,0.35714,0.25895,0.06417,1.69125,8.22703,0.69845,3.01216,1.90097,0.000503818,0.000503818,0.000503818
