epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.20702,1.19341,2.96749,0.33661,0.71677,1.22651,0.80407,0.88043,0.90712,0.71147,0.98542,0.64286,0.71592,0.36007,0.88729,3.78438,0.40338,0.51527,1.09125,0,0,0
2,4.13314,0.99123,3.24401,0.32919,0.79087,1.17921,0.80662,0.895,0.91237,0.71584,1,0.70039,0.76914,0.35631,0.88999,3.72168,0.40353,0.51874,1.09712,1.9802e-05,1.9802e-05,1.9802e-05
3,6.01733,1.16846,3.75529,0.39853,0.78851,1.21823,0.85953,0.87502,0.9272,0.71379,1,0.70018,0.77245,0.35151,0.89418,3.75975,0.40485,0.51826,1.10316,3.9208e-05,3.9208e-05,3.9208e-05
4,7.96353,0.89728,1.25997,0.37056,0.63533,1.40451,0.84769,0.92857,0.92301,0.6988,1,0.7012,0.77235,0.34226,0.88763,3.75422,0.40851,0.51779,1.10493,5.8218e-05,5.8218e-05,5.8218e-05
5,9.72746,0.85429,2.21377,0.30686,0.47231,1.24621,0.84551,0.92857,0.92223,0.69036,0.98005,0.64286,0.76631,0.31588,0.89935,3.86335,0.4043,0.52285,1.11555,7.6832e-05,7.6832e-05,7.6832e-05
6,11.492,0.93833,2.99144,0.28607,0.85349,1.22832,0.85037,0.92857,0.917,0.69265,1,0.7004,0.77311,0.27715,0.93303,3.95848,0.40527,0.54583,1.12072,9.505e-05,9.505e-05,9.505e-05
7,13.2383,1.02156,2.59065,0.36157,0.87653,1.13178,1,0.70089,0.84493,0.67428,1,0.70089,0.77339,0.24468,0.95537,4.06661,0.39876,0.57494,1.13461,0.000112872,0.000112872,0.000112872
8,14.9501,0.97465,2.37252,0.36468,0.85126,1.15464,1,0.70554,0.85034,0.64648,1,0.69721,0.76752,0.19759,1.00238,4.3037,0.39172,0.60887,1.1621,0.000130298,0.000130298,0.000130298
9,16.6687,0.84169,2.06008,0.31344,0.45725,1.12184,0.97791,0.64286,0.81447,0.64534,0.86833,0.57143,0.60279,0.19203,1.01559,4.32508,0.37982,0.61682,1.18183,0.000147328,0.000147328,0.000147328
10,18.4069,0.88311,2.79797,0.44523,0.83348,1.09922,0.97145,0.64286,0.80933,0.62592,0.86295,0.57143,0.58968,0.18181,1.0871,4.51595,0.37047,0.6707,1.23029,0.000163962,0.000163962,0.000163962
11,20.3571,1.03319,1.60982,0.3271,0.65105,1.11699,0.95431,0.64286,0.81613,0.60915,0.84741,0.57143,0.58956,0.16953,1.17318,4.70887,0.36681,0.71217,1.26884,0.0001802,0.0001802,0.0001802
12,22.1386,1.13246,1.78834,0.21808,0.60355,1.23566,0.82968,0.69708,0.80724,0.57095,0.82959,0.42857,0.47548,0.17184,1.1895,4.78508,0.369,0.75173,1.29826,0.000196042,0.000196042,0.000196042
13,23.8249,0.87981,2.26353,0.26404,0.54511,1.07752,0.7002,0.71429,0.79113,0.55556,0.82564,0.42857,0.47173,0.18567,1.23628,4.84894,0.3744,0.79603,1.35847,0.000211488,0.000211488,0.000211488
